,from,to,round,duration,packets_per_ms,bytes_s,bytes_r,packets_s,packets_r,senders,receivers
0,0,50,0,8,1,224000,224000,160,160,1,1
1,0,50,1,8,2,448000,448000,320,320,1,1
2,0,50,2,8,3,672000,670600,480,479,1,1
3,0,50,3,8,4,896000,886200,640,633,1,1
4,0,50,4,8,5,1120000,1104600,800,789,1,1
5,0,50,5,8,6,1344000,1331400,960,951,1,1
6,0,51,0,8,1,224000,224000,160,160,1,1
7,0,51,1,8,2,448000,446600,320,319,1,1
8,0,51,2,8,3,672000,670600,480,479,1,1
9,0,51,3,8,4,896000,893200,640,638,1,1
10,0,51,4,8,5,1120000,1114400,800,796,1,1
11,0,51,5,8,6,1344000,1339800,960,957,1,1
12,0,52,0,8,1,224000,224000,160,160,1,1
13,0,52,1,8,2,448000,448000,320,320,1,1
14,0,52,2,8,3,672000,672000,480,480,1,1
15,0,52,3,8,4,896000,894600,640,639,1,1
16,0,52,4,8,5,1120000,1120000,800,800,1,1
17,0,52,5,8,6,1344000,1316000,960,940,1,1
18,0,53,0,8,1,224000,224000,160,160,1,1
19,0,53,1,8,2,448000,448000,320,320,1,1
20,0,53,2,8,3,672000,672000,480,480,1,1
21,0,53,3,8,4,896000,889000,640,635,1,1
22,0,53,4,8,5,1120000,1114400,800,796,1,1
23,0,53,5,8,6,1344000,1332800,960,952,1,1
24,0,54,0,8,1,224000,222600,160,159,1,1
25,0,54,1,8,2,448000,445200,320,318,1,1
26,0,54,2,8,3,672000,663600,480,474,1,1
27,0,54,3,8,4,896000,831600,640,594,1,1
28,0,54,4,8,5,1120000,1092000,800,780,1,1
29,0,54,5,8,6,1344000,1332800,960,952,1,1
30,0,55,0,8,1,224000,224000,160,160,1,1
31,0,55,1,8,2,448000,446600,320,319,1,1
32,0,55,2,8,3,672000,672000,480,480,1,1
33,0,55,3,8,4,896000,896000,640,640,1,1
34,0,55,4,8,5,1120000,1120000,800,800,1,1
35,0,55,5,8,6,1344000,1342600,960,959,1,1
36,0,56,0,8,1,224000,224000,160,160,1,1
37,0,56,1,8,2,448000,448000,320,320,1,1
38,0,56,2,8,3,672000,672000,480,480,1,1
39,0,56,3,8,4,896000,896000,640,640,1,1
40,0,56,4,8,5,1120000,1120000,800,800,1,1
41,0,56,5,8,6,1344000,1342600,960,959,1,1
42,0,57,0,8,1,224000,224000,160,160,1,1
43,0,57,1,8,2,448000,448000,320,320,1,1
44,0,57,2,8,3,672000,672000,480,480,1,1
45,0,57,3,8,4,896000,896000,640,640,1,1
46,0,57,4,8,5,1120000,1120000,800,800,1,1
47,0,57,5,8,6,1344000,1344000,960,960,1,1
48,0,58,0,8,1,224000,224000,160,160,1,1
49,0,58,1,8,2,448000,448000,320,320,1,1
50,0,58,2,8,3,672000,672000,480,480,1,1
51,0,58,3,8,4,896000,896000,640,640,1,1
52,0,58,4,8,5,1120000,1115800,800,797,1,1
53,0,58,5,8,6,1344000,1337000,960,955,1,1
54,0,59,0,8,1,224000,224000,160,160,1,1
55,0,59,1,8,2,448000,448000,320,320,1,1
56,0,59,2,8,3,672000,672000,480,480,1,1
57,0,59,3,8,4,896000,896000,640,640,1,1
58,0,59,4,8,5,1120000,1120000,800,800,1,1
59,0,59,5,8,6,1344000,1344000,960,960,1,1
60,0,60,0,8,1,224000,224000,160,160,1,1
61,0,60,1,8,2,448000,448000,320,320,1,1
62,0,60,2,8,3,672000,672000,480,480,1,1
63,0,60,3,8,4,896000,896000,640,640,1,1
64,0,60,4,8,5,1120000,1120000,800,800,1,1
65,0,60,5,8,6,1344000,1344000,960,960,1,1
66,0,61,0,8,1,224000,224000,160,160,1,1
67,0,61,1,8,2,448000,448000,320,320,1,1
68,0,61,2,8,3,672000,669200,480,478,1,1
69,0,61,3,8,4,896000,894600,640,639,1,1
70,0,61,4,8,5,1120000,1120000,800,800,1,1
71,0,61,5,8,6,1344000,1344000,960,960,1,1
72,0,62,0,8,1,224000,222600,160,159,1,1
73,0,62,1,8,2,448000,448000,320,320,1,1
74,0,62,2,8,3,672000,669200,480,478,1,1
75,0,62,3,8,4,896000,890400,640,636,1,1
76,0,62,4,8,5,1120000,1108800,800,792,1,1
77,0,62,5,8,6,1344000,1257200,960,898,1,1
78,0,63,0,8,1,224000,224000,160,160,1,1
79,0,63,1,8,2,448000,448000,320,320,1,1
80,0,63,2,8,3,672000,672000,480,480,1,1
81,0,63,3,8,4,896000,896000,640,640,1,1
82,0,63,4,8,5,1120000,1120000,800,800,1,1
83,0,63,5,8,6,1344000,1325800,960,947,1,1
84,0,64,0,8,1,224000,224000,160,160,1,1
85,0,64,1,8,2,448000,446600,320,319,1,1
86,0,64,2,8,3,672000,670600,480,479,1,1
87,0,64,3,8,4,896000,889000,640,635,1,1
88,0,64,4,8,5,1120000,1111600,800,794,1,1
89,0,64,5,8,6,1344000,1316000,960,940,1,1
90,0,65,0,8,1,224000,224000,160,160,1,1
91,0,65,1,8,2,448000,448000,320,320,1,1
92,0,65,2,8,3,672000,672000,480,480,1,1
93,0,65,3,8,4,896000,896000,640,640,1,1
94,0,65,4,8,5,1120000,1115800,800,797,1,1
95,0,65,5,8,6,1344000,1344000,960,960,1,1
96,0,66,0,8,1,224000,224000,160,160,1,1
97,0,66,1,8,2,448000,448000,320,320,1,1
98,0,66,2,8,3,672000,672000,480,480,1,1
99,0,66,3,8,4,896000,896000,640,640,1,1
100,0,66,4,8,5,1120000,1120000,800,800,1,1
101,0,66,5,8,6,1344000,1344000,960,960,1,1
102,0,67,0,8,1,224000,224000,160,160,1,1
103,0,67,1,8,2,448000,446600,320,319,1,1
104,0,67,2,8,3,672000,672000,480,480,1,1
105,0,67,3,8,4,896000,894600,640,639,1,1
106,0,67,4,8,5,1120000,1120000,800,800,1,1
107,0,67,5,8,6,1344000,1339800,960,957,1,1
108,0,68,0,8,1,224000,224000,160,160,1,1
109,0,68,1,8,2,448000,448000,320,320,1,1
110,0,68,2,8,3,672000,672000,480,480,1,1
111,0,68,3,8,4,896000,896000,640,640,1,1
112,0,68,4,8,5,1120000,1120000,800,800,1,1
113,0,68,5,8,6,1344000,1344000,960,960,1,1
114,0,69,0,8,1,224000,222600,160,159,1,1
115,0,69,1,8,2,448000,442400,320,316,1,1
116,0,69,2,8,3,672000,672000,480,480,1,1
117,0,69,3,8,4,896000,889000,640,635,1,1
118,0,69,4,8,5,1120000,1065400,800,761,1,1
119,0,69,5,8,6,1344000,1313200,960,938,1,1
120,0,70,0,8,1,224000,224000,160,160,1,1
121,0,70,1,8,2,448000,448000,320,320,1,1
122,0,70,2,8,3,672000,672000,480,480,1,1
123,0,70,3,8,4,896000,896000,640,640,1,1
124,0,70,4,8,5,1120000,1120000,800,800,1,1
125,0,70,5,8,6,1344000,1339800,960,957,1,1
126,0,71,0,8,1,224000,224000,160,160,1,1
127,0,71,1,8,2,448000,448000,320,320,1,1
128,0,71,2,8,3,672000,670600,480,479,1,1
129,0,71,3,8,4,896000,889000,640,635,1,1
130,0,71,4,8,5,1120000,1099000,800,785,1,1
131,0,71,5,8,6,1344000,1344000,960,960,1,1
132,0,72,0,8,1,224000,224000,160,160,1,1
133,0,72,1,8,2,448000,448000,320,320,1,1
134,0,72,2,8,3,672000,672000,480,480,1,1
135,0,72,3,8,4,896000,894600,640,639,1,1
136,0,72,4,8,5,1120000,1120000,800,800,1,1
137,0,72,5,8,6,1344000,1341200,960,958,1,1
138,0,73,0,8,1,224000,224000,160,160,1,1
139,0,73,1,8,2,448000,448000,320,320,1,1
140,0,73,2,8,3,672000,669200,480,478,1,1
141,0,73,3,8,4,896000,891800,640,637,1,1
142,0,73,4,8,5,1120000,1120000,800,800,1,1
143,0,73,5,8,6,1344000,1338400,960,956,1,1
144,0,74,0,8,1,224000,224000,160,160,1,1
145,0,74,1,8,2,448000,448000,320,320,1,1
146,0,74,2,8,3,672000,672000,480,480,1,1
147,0,74,3,8,4,896000,896000,640,640,1,1
148,0,74,4,8,5,1120000,1115800,800,797,1,1
149,0,74,5,8,6,1344000,1341200,960,958,1,1
150,0,75,0,8,1,224000,224000,160,160,1,1
151,0,75,1,8,2,448000,448000,320,320,1,1
152,0,75,2,8,3,672000,672000,480,480,1,1
153,0,75,3,8,4,896000,896000,640,640,1,1
154,0,75,4,8,5,1120000,1111600,800,794,1,1
155,0,75,5,8,6,1344000,1344000,960,960,1,1
156,0,76,0,8,1,224000,224000,160,160,1,1
157,0,76,1,8,2,448000,448000,320,320,1,1
158,0,76,2,8,3,672000,672000,480,480,1,1
159,0,76,3,8,4,896000,896000,640,640,1,1
160,0,76,4,8,5,1120000,1120000,800,800,1,1
161,0,76,5,8,6,1344000,1344000,960,960,1,1
162,0,77,0,8,1,224000,224000,160,160,1,1
163,0,77,1,8,2,448000,446600,320,319,1,1
164,0,77,2,8,3,672000,670600,480,479,1,1
165,0,77,3,8,4,896000,884800,640,632,1,1
166,0,77,4,8,5,1120000,1120000,800,800,1,1
167,0,77,5,8,6,1344000,1341200,960,958,1,1
168,0,78,0,8,1,224000,224000,160,160,1,1
169,0,78,1,8,2,448000,448000,320,320,1,1
170,0,78,2,8,3,672000,670600,480,479,1,1
171,0,78,3,8,4,896000,896000,640,640,1,1
172,0,78,4,8,5,1120000,1120000,800,800,1,1
173,0,78,5,8,6,1344000,1344000,960,960,1,1
174,0,79,0,8,1,224000,224000,160,160,1,1
175,0,79,1,8,2,448000,448000,320,320,1,1
176,0,79,2,8,3,672000,672000,480,480,1,1
177,0,79,3,8,4,896000,891800,640,637,1,1
178,0,79,4,8,5,1120000,1097600,800,784,1,1
179,0,79,5,8,6,1344000,1299200,960,928,1,1
180,0,80,0,8,1,224000,224000,160,160,1,1
181,0,80,1,8,2,448000,448000,320,320,1,1
182,0,80,2,8,3,672000,669200,480,478,1,1
183,0,80,3,8,4,896000,896000,640,640,1,1
