,from,to,round,duration,packets_per_ms,bytes_s,bytes_r,packets_s,packets_r,senders,receivers
0,0,1,0,8,1,11198600,11198600,7999,7999,1,1
1,0,1,1,8,2,22397200,22397200,15998,15998,1,1
2,0,1,2,8,3,33595800,33595800,23997,23997,1,1
3,0,1,3,8,4,44794400,44704800,31996,31932,1,1
4,0,1,4,8,5,55993000,55890800,39995,39922,1,1
5,0,1,5,8,6,67191600,67054400,47994,47896,1,1
6,0,1,6,8,7,78390200,77912800,55993,55652,1,1
7,0,1,7,8,8,89588800,89587400,63992,63991,1,1
8,10,11,0,8,1,11198600,11198600,7999,7999,1,1
9,10,11,1,8,2,22397200,22395800,15998,15997,1,1
10,10,11,2,8,3,33595800,33595800,23997,23997,1,1
11,10,11,3,8,4,44794400,44794400,31996,31996,1,1
12,10,11,4,8,5,55993000,55981800,39995,39987,1,1
13,10,11,5,8,6,67191600,67041800,47994,47887,1,1
14,10,11,6,8,7,78390200,78075200,55993,55768,1,1
15,10,11,7,8,8,89588800,89146400,63992,63676,1,1
16,12,13,0,8,1,11198600,11198600,7999,7999,1,1
17,12,13,1,8,2,22397200,22397200,15998,15998,1,1
18,12,13,2,8,3,33595800,33594400,23997,23996,1,1
19,12,13,3,8,4,44794400,44678200,31996,31913,1,1
20,12,13,4,8,5,55993000,55991600,39995,39994,1,1
21,12,13,5,8,6,67191600,67190200,47994,47993,1,1
22,12,13,6,8,7,78390200,78304800,55993,55932,1,1
23,12,13,7,8,8,89588800,89537000,63992,63955,1,1
24,14,15,0,8,1,11198600,11197200,7999,7998,1,1
25,14,15,1,8,2,22397200,22397200,15998,15998,1,1
26,14,15,2,8,3,33595800,33595800,23997,23997,1,1
27,14,15,3,8,4,44794400,44794400,31996,31996,1,1
28,14,15,4,8,5,55993000,55993000,39995,39995,1,1
29,14,15,5,8,6,67191600,67023600,47994,47874,1,1
30,14,15,6,8,7,78390200,78174600,55993,55839,1,1
31,14,15,7,8,8,89588800,89413800,63992,63867,1,1
32,16,17,0,8,1,11198600,11198600,7999,7999,1,1
33,16,17,1,8,2,22397200,22388800,15998,15992,1,1
34,16,17,2,8,3,33595800,33566400,23997,23976,1,1
35,16,17,3,8,4,44794400,44578800,31996,31842,1,1
36,16,17,4,8,5,55993000,55798400,39995,39856,1,1
37,16,17,5,8,6,67191600,66376800,47994,47412,1,1
38,16,17,6,8,7,78390200,77744800,55993,55532,1,1
39,16,17,7,8,8,89588800,88523400,63992,63231,1,1
40,18,19,0,8,1,11198600,11198600,7999,7999,1,1
41,18,19,1,8,2,22397200,22397200,15998,15998,1,1
42,18,19,2,8,3,33595800,33595800,23997,23997,1,1
43,18,19,3,8,4,44794400,44777600,31996,31984,1,1
44,18,19,4,8,5,55993000,55977600,39995,39984,1,1
45,18,19,5,8,6,67191600,67135600,47994,47954,1,1
46,18,19,6,8,7,78390200,78353800,55993,55967,1,1
47,18,19,7,8,8,89588800,89493600,63992,63924,1,1
48,2,3,0,8,1,11198600,11198600,7999,7999,1,1
49,2,3,1,8,2,22397200,22369200,15998,15978,1,1
50,2,3,2,8,3,33595800,33518800,23997,23942,1,1
51,2,3,3,8,4,44794400,44776200,31996,31983,1,1
52,2,3,4,8,5,55993000,55584200,39995,39703,1,1
53,2,3,5,8,6,67191600,66746400,47994,47676,1,1
54,2,3,6,8,7,78390200,77460600,55993,55329,1,1
55,2,3,7,8,8,89588800,89404000,63992,63860,1,1
56,20,21,0,8,1,11198600,11198600,7999,7999,1,1
57,20,21,1,8,2,22397200,22397200,15998,15998,1,1
58,20,21,2,8,3,33595800,33594400,23997,23996,1,1
59,20,21,3,8,4,44794400,44794400,31996,31996,1,1
60,20,21,4,8,5,55993000,55785800,39995,39847,1,1
61,20,21,5,8,6,67191600,67186000,47994,47990,1,1
62,20,21,6,8,7,78390200,78125600,55993,55804,1,1
